page_folder,docx_file,note_index,title,char_count,images_count,images_list
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,13,“Mi Primera Licencia”: más de 200 jóvenes ya rindieron el examen teórico,686,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,14,"Mat - Encuentro, Matemática en Acción: del Primario al Secundario",743,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,15,El Intendente Carballo se reunió con el Presidente de la Agencia Córdoba Turismo,317,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 7 Carrilobo,CARRILOBO.docx,1,Myrian Prunotto visitó Carrilobo: inauguración e importantes anuncios,1610,0,
Pagina 7 Carrilobo,CARRILOBO.docx,2,Carrilobo fue sede de la Expo Alfa Córdoba 2025,1122,0,
Pagina 8 Rincon,Reunión de la Comunidad Regional Río II.docx,1,Prunotto en Rincón,1299,0,
Pagina 8 Rincon,Reunión de la Comunidad Regional Río II.docx,2,Reunión de la Comunidad Regional Río II,752,0,
Pagina 9 Luque,LIQUE.docx,1,Vecinos de Luque recibieron sus escrituras,926,0,
Pagina 9 Luque,LIQUE.docx,2,Gran éxito del Maratón “Luque Corre 2025”,776,0,
Pagina 9 Luque,LIQUE.docx,3,Cierre del ciclo de orientación vocacional,792,0,
Pagina 9 Luque,LIQUE.docx,4,Jornada recreativa del Taller de Niños en la Ermita,703,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,1,Festejos Patronales de Calchín,1179,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,2,Primer Bebé en la Clínica Cooperativa Calchín,680,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,3,Seguridad vial en Calchín,760,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,4,5° Caminata Rosa: Concientización sobre el cáncer de mama,625,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,5,Se realizó en Calchín el Octavo Cicloturismo Rural,787,0,
